Type	Subtype	Duration	Value
resurrect_country			страна
add_oil			число
add_cruiser			число
diplomacy_lift_sanctions	страна		
diplomacy_sanctions	страна		
diplomacy_pact	страна		
defense		число	проценты
add_random_culture_population			число
diplomacy_alliance	страна		
diplomacy_peace	страна		
relation_ideology_change	идеология	число	число
attack		число	проценты
add_shock_infantry			число
discontent		число	число
population_income		число	проценты
annex_country			страна
relation_change	страна	число	проценты
add_tank			число
building_cost		число	проценты
diplomacy_war	страна		
army_losses			число
prestige			число
add_battleship			число
add_infantry			число
science			число
money			число
